Model Name,Type,Processor Brand,Processor Name,Processor Generation,RAM,RAM Type,Storage Type,Storage Capacity,Graphic Processor,Screen Size,Screen Resolution,Screen Type,Weight,Dimensions,USB Port,HDMI Port,Wireless LAN,Bluetooth,Battery Cell,Battery Backup,Web Camera,Backlit Keyboard,Warranty Summary,Laptop Name,Rating,Rating/Review Count,Final price,MRP,Discount,Product URL
A324-53,Thin and Light Laptop,Intel,Core i3,13th Gen,8 GB,DDR4,SSD,N/A,Intel Integrated UHD,35.56 cm (14 Inch),1920 x 1080 Pixel,Full HD,1.45 Kg,321.7 x 206.6 x 19.4 mm,"2 x USB 3.2 port, 1 x USB 2.0 port, 1 x Type-C port for PD Adapter",N/A,WIFI 6,v5.2,N/A,N/A,Video conferencing: 2M With Privacy Camera Shutter,N/A,1 Year Carry-in Warranty,"Acer Aspire 3 Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light Laptop  (14 Inch, Steel Gray, 1.45 Kg)",4.2,"1,025 Ratings & 93 Reviews","27,990","49,999",44% off,https://www.flipkart.com/acer-aspire-3-intel-core-i3-13th-gen-1305u-8-gb-512-gb-ssd-windows-11-home-a324-53-thin-light-laptop/p/itma6a6812aa712e?pid=COMH4B6CGTPNVJW9&lid=LSTCOMH4B6CGTPNVJW9JOF4ZC&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_1&otracker=browse&iid=en_snPhhyUI7FpWOvpmxfjq0-uKIwHHk6iq1Jk9v0CEHbwFrzmGOZpLZhTs9sy5JI3jL6qSbd0lwrDeoqG1dotw4PUFjCTyOHoHZs-Z5_PS_w0%3D&ssid=nawdf1pj8w0000001741522244254
A325-42,Thin and Light Laptop,AMD,Ryzen 3 Quad Core,N/A,8 GB,DDR4,SSD,N/A,AMD Radeon AMD,39.62 cm (15.6 Inch),1920 x 1080 Pixel,Full HD,1.79 Kg,360.8 x 253.33 x 19.3 mm,"3 x USB ports, 2 x Type-C port",N/A,Wifi 6,v5.1,N/A,N/A,Full HD camera,N/A,1 Year Carry-in Warranty,"Acer Aspire 3 AMD Ryzen 3 Quad Core 7330U - (8 GB/512 GB SSD/Windows 11 Home) A325-42 Thin and Light Laptop  (15.6 Inch, Silver, 1.79 Kg)",4.1,305 Ratings & 51 Reviews,"27,990","44,990",37% off,https://www.flipkart.com/acer-aspire-3-amd-ryzen-quad-core-7330u-8-gb-512-gb-ssd-windows-11-home-a325-42-thin-light-laptop/p/itmdaf15e01a1d1a?pid=COMH397X2KJ8XCHR&lid=LSTCOMH397X2KJ8XCHRBDEAS1&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_2&otracker=browse&iid=en_snPhhyUI7FpWOvpmxfjq0-uKIwHHk6iq1Jk9v0CEHbwXjw2Vjqy45w9xKAeF2101VqsaO2qzNhwP2Ugda3D4JfUFjCTyOHoHZs-Z5_PS_w0%3D&ssid=nawdf1pj8w0000001741522244254
NP750XGJ-KG2IN / NP750XGJ-LG2IN,Thin and Light Laptop,Intel,Core i5,13th Gen,16 GB,LPDDR4X,SSD,N/A,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),1920 x 1080 Pixel,Full HD LCD Display,1.55 Kg,356.6 x 15.4 x 229.15mm,"Yes, 2 x USB Type C, 2 x USB 3.2 Type A","Yes, 1 x HDMI",802.11ax,v5.2,4 Cell Lithium Ion Battery,N/A,"Yes, 1 Megapixel",N/A,1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories,"SAMSUNG Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-KG2IN / NP750XGJ-LG2IN Thin and Light Laptop  (15.6 Inch, Gray, 1.55 Kg, With MS Office)",4.5,"5,022 Ratings & 441 Reviews","56,990","82,789",31% off,https://www.flipkart.com/samsung-galaxy-book4-metal-intel-core-i5-13th-gen-1335u-16-gb-512-gb-ssd-windows-11-home-np750xgj-kg2in-np750xgj-lg2in-thin-light-laptop/p/itm820dc496ef160?pid=COMGZUYDGFJGHZR4&lid=LSTCOMGZUYDGFJGHZR4JPVIN2&marketplace=FLIPKART&store=6bo%2Fb5g&spotlightTagId=BestsellerId_6bo%2Fb5g&srno=b_1_3&otracker=browse&iid=382e13d3-74ed-46b1-a38f-30bc4cf62d7c.COMGZUYDGFJGHZR4.SEARCH&ssid=nawdf1pj8w0000001741522244254
A324-51,Thin and Light Laptop,Intel,Core i7,12th Gen,16 GB,DDR4,SSD,N/A,Intel Integrated Iris Xe,35.56 cm (14 Inch),1920 x 1080 Pixel,"Full HD display with IPS (In-Plane Switching) technology, LED-backlit TFT LCD",1.45 Kg,321.7 x 206.6 x 19.4 mm,N/A,1x HDMI Port,WIFI 6,v5.2,2 cell,N/A,2M With Privacy Camera Shutter,Yes,1 Year Domestic Warranty,"Acer Aspire 3 Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Windows 11 Home) A324-51 Thin and Light Laptop  (14 Inch, Steel Gray, 1.45 Kg)",4.3,363 Ratings & 23 Reviews,"41,990","63,000",33% off,https://www.flipkart.com/acer-aspire-3-intel-core-i7-12th-gen-1255u-16-gb-512-gb-ssd-windows-11-home-a324-51-thin-light-laptop/p/itm858b83f904593?pid=COMHY24RF6KYHDRE&lid=LSTCOMHY24RF6KYHDRE8P4KR4&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_4&otracker=browse&iid=382e13d3-74ed-46b1-a38f-30bc4cf62d7c.COMHY24RF6KYHDRE.SEARCH&ssid=nawdf1pj8w0000001741522244254
Modern 15 H AI C1MG-049IN,Thin and Light Laptop,Intel,Core Ultra 5,N/A,16 GB,DDR5,SSD,N/A,Intel Integrated Arc,39.62 cm (15.6 inch),1920 x 1080 Pixels,"Full HD, IPS Level. 45% NTSC",1.9 kg,359 x 241 x 19.9 mm,"3 x Type A USB 3.2 Gen 1, 1 x Type C (USB 3.2 Gen 2/DisplayPort/Power Delivery 3.0)",1 x HDMI 2.1 (4K (at 60 Hz)),802.11 ax Wi-Fi 6E,v5.3,3 Cell,N/A,"HD Type (30fps (at 720p)), 3D Noise Reduction (3DNR)",N/A,1 Year On-Site Warranty,"MSI Modern 15 H AI Intel Core Ultra 5 125H - (16 GB/512 GB SSD/Windows 11 Home) Modern 15 H AI C1MG-049IN Thin and Light Laptop  (15.6 inch, Classic Black, 1.9 kg, With MS Office)",4.8,4 Ratings & 2 Reviews,"49,990","75,990",34% off,https://www.flipkart.com/msi-modern-15-h-ai-intel-core-ultra-5-125h-16-gb-512-gb-ssd-windows-11-home-c1mg-049in-thin-light-laptop/p/itm01c95e069735f?pid=COMH7NDFMGZREMPJ&lid=LSTCOMH7NDFMGZREMPJ9AB9DK&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_5&otracker=browse&iid=382e13d3-74ed-46b1-a38f-30bc4cf62d7c.COMH7NDFMGZREMPJ.SEARCH&ssid=nawdf1pj8w0000001741522244254
Chromebook Plus,Chromebook,Intel,Core i3,13th Gen,8 GB,LPDDR5X,SSD,N/A,Intel Integrated UHD,39.62 cm (15.6 Inch),1920 x 1080 Pixel,Full HD IPS LED-backlit LCD Dislpay,1.68 Kg,360.6 x 238.4 x 199.5 mm,"1 x USB 3.2 Gen 1 Type-A port, 2 x USB 3.2 Gen 1 Type-C port",NA,Intel Wireless Wi-Fi 6E AX211,v5.2,3 Cell,N/A,"FHD camera, 1920 x 1080 Resolution, 1080p video at 60 fps with Temporal Noise Reduction, Support ROI feature, Support HDR feature, Dual Mic",No,1 Year Carry-in Warranty,"Acer Chromebook Plus Google AI Intel Core i3 13th Gen 1315U - (8 GB/256 GB SSD/Chrome OS) CB515-2H-34YL Chromebook  (15.6 Inch, Silver, 1.68 Kg)",3.8,122 Ratings & 15 Reviews,"21,990","52,999",58% off,https://www.flipkart.com/acer-chromebook-plus-google-ai-intel-core-i3-13th-gen-1315u-8-gb-256-gb-ssd-chrome-os-cb515-2h-34yl/p/itm5542cc6900ec1?pid=COMHFC9KY8AHGYD3&lid=LSTCOMHFC9KY8AHGYD37DART0&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_6&otracker=browse&iid=en_snPhhyUI7FpWOvpmxfjq0-uKIwHHk6iq1Jk9v0CEHbzrK62zORFyZv0_wjUWgxpxiq3nIeNdJ-HrGQ0UaR_5DvUFjCTyOHoHZs-Z5_PS_w0%3D&ssid=nawdf1pj8w0000001741522244254
NP750XGJ-LG4IN,Thin and Light Laptop,Intel,Core i3,13th Gen,8 GB,LPDDR4X,SSD,N/A,Intel Integrated Iris Xe,39.62 cm (15.6 Inch),1920 x 1080 Pixel,Full HD LCD Display,1.55 Kg,356.6 x 229.15 x 15.4 mm,"Yes, 2 x USB Type C, 2 x USB 3.2 Type A",N/A,Wi-Fi 6,v5.2,N/A,N/A,"Yes, 1 Megapixel",N/A,1 Year Onsite Warranty,"SAMSUNG Galaxy Book4 Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-LG4IN Thin and Light Laptop  (15.6 Inch, Gray, 1.55 Kg, With MS Office)",4.5,"2,362 Ratings & 308 Reviews","36,990","57,499",35% off,https://www.flipkart.com/samsung-galaxy-book4-metal-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-np750xgj-lg4in-thin-light-laptop/p/itm1ad811a174c21?pid=COMH4Y6KKRC9YSWE&lid=LSTCOMH4Y6KKRC9YSWERDUMZD&marketplace=FLIPKART&store=6bo%2Fb5g&spotlightTagId=BestsellerId_6bo%2Fb5g&srno=b_1_7&otracker=browse&iid=382e13d3-74ed-46b1-a38f-30bc4cf62d7c.COMH4Y6KKRC9YSWE.SEARCH&ssid=nawdf1pj8w0000001741522244254
15IAX9,Gaming Laptop,Intel,Core i5,12th Gen,16 GB,DDR5,SSD,N/A,NVIDIA GeForce RTX 4050,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD IPS 300nits Anti-glare, 100% sRGB, 144Hz, G-SYNC",2.38 Kg,359.86 x 258.7 x 23.9 mm,"3 x USB-A (USB 5Gbps / USB 3.2 Gen 1), 1 x USB-C (USB 10Gbps / USB 3.2 Gen 2), with Lenovo PD 140W and DisplayPort 1.4",1 x HDMI 2.1,"Wi-Fi 6, 11ax 2x2",v5.2,N/A,N/A,HD 720p with E-shutter,Yes,1Yr Warranty and 1 Yr Accidental Damage Protection,"Lenovo LOQ Intel Core i5 12th Gen 12450HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 4050) 15IAX9 Gaming Laptop  (15.6 inch, Luna Grey, 2.38 Kg, With MS Office)",4.3,470 Ratings & 38 Reviews,"69,990","1,05,090",33% off,https://www.flipkart.com/lenovo-loq-intel-core-i5-12th-gen-12450hx-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-4050-15iax9-gaming-laptop/p/itme3e94a3f73f71?pid=COMHYXVABRPB2XQ5&lid=LSTCOMHYXVABRPB2XQ57M1XQE&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_8&otracker=browse&iid=382e13d3-74ed-46b1-a38f-30bc4cf62d7c.COMHYXVABRPB2XQ5.SEARCH&ssid=nawdf1pj8w0000001741522244254
X1504ZA-NJ322WS,Thin and Light Laptop,Intel,Core i3,12th Gen,8 GB,DDR4,SSD,N/A,Intel Integrated UHD,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD, 16:9 aspect ratio, LED Backlit, 60Hz refresh rate, 250nits, 45% NTSC color gamut, Anti-glare display",1.70 Kg,359.7 x 232.5 x 17.9 mm,"1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 3.2 Gen 1 Type-A",N/A,Wi-Fi 6E(802.11ax) (Dual band) 1*1,v5.3,N/A,N/A,720p HD camera With privacy shutter,N/A,1 Year Onsite Warranty,"ASUS Vivobook 15 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ322WS Thin and Light Laptop  (15.6 Inch, Cool Silver, 1.70 Kg, With MS Office)",4.3,"11,610 Ratings & 913 Reviews","32,990","54,990",40% off,https://www.flipkart.com/asus-vivobook-15-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-x1504za-nj322ws-thin-light-laptop/p/itm200184e4e0443?pid=COMH4Y6KT9ZMYXA6&lid=LSTCOMH4Y6KT9ZMYXA60HIRLB&marketplace=FLIPKART&store=6bo%2Fb5g&spotlightTagId=BestsellerId_6bo%2Fb5g&srno=b_1_9&otracker=browse&iid=382e13d3-74ed-46b1-a38f-30bc4cf62d7c.COMH4Y6KT9ZMYXA6.SEARCH&ssid=nawdf1pj8w0000001741522244254
11MK G9,Chromebook,MediaTek,MT8183,N/A,4 GB,LPDDR4X,eMMC,N/A,MediaTek Integrated ARM Mali G72 MP3 Graphics,29.46 cm (11.6 Inch),1366 x 768 Pixel,"HD, touch, IPS, anti-glare, 220 nits, 50% NTSC",1.34 Kg,295 x 205.3 x 18.8 mm,"1 x USB 2.0 Type-A, 1 x SuperSpeed USB Type-C 5Gbps signaling rate",N/A,Qualcomm Atheros QCA6174A-5 802.11a/b/g/n/ac (2x2) Wi-Fi,v4.2,N/A,N/A,720p HD camera,N/A,1 Year Carry-in Warranty,"HP Touch Chromebook MediaTek MT8183 - (4 GB/32 GB EMMC Storage/Chrome OS) 11MK G9 Chromebook  (11.6 Inch, Black, 1.34 Kg)",3.3,887 Ratings & 71 Reviews,"10,990","37,241",70% off,https://www.flipkart.com/hp-touch-chromebook-mediatek-mt8183-4-gb-32-gb-emmc-storage-chrome-os-11mk-g9/p/itmbcfcbc0ab424f?pid=COMGZFFXQ9GEXPVR&lid=LSTCOMGZFFXQ9GEXPVR3NOGMI&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_10&otracker=browse&iid=382e13d3-74ed-46b1-a38f-30bc4cf62d7c.COMGZFFXQ9GEXPVR.SEARCH&ssid=nawdf1pj8w0000001741522244254
A324-45,Thin and Light Laptop,Intel,Celeron Dual Core,N/A,8 GB,LPDDR4X,SSD,N/A,Intel Integrated UHD,35.56 cm (14 Inch),1366 x 768 Pixel,HD,1.3 Kg,357.4 x 228 x 17.7 mm,USB 3.0 ports,1 x HDMI Port,Wi-Fi 5,v5.0,2 cell,N/A,"T-Type HD camera, Compatible with Windows only",N/A,1 Year Carry-in Warranty,"Acer Aspire 3 Intel Celeron Dual Core N4500 - (8 GB/512 GB SSD/Windows 11 Home) A324-45 Thin and Light Laptop  (14 Inch, Pure Silver, 1.3 Kg)",3.9,"1,926 Ratings & 158 Reviews","22,990","32,999",30% off,https://www.flipkart.com/acer-aspire-3-intel-celeron-dual-core-n4500-8-gb-512-gb-ssd-windows-11-home-a324-45-thin-light-laptop/p/itmbbfe217e40d59?pid=COMHFZYZFVD2MCAB&lid=LSTCOMHFZYZFVD2MCABTLQNKG&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_11&otracker=browse&iid=en_snPhhyUI7FpWOvpmxfjq0-uKIwHHk6iq1Jk9v0CEHbzd28XUu-7AecLsG66sqb7ecC0txpZnf9gKLDb2_NOBT_UFjCTyOHoHZs-Z5_PS_w0%3D&ssid=nawdf1pj8w0000001741522244254
Aspire 3,Thin and Light Laptop,Intel,Celeron Dual Core,N/A,8 GB,DDR4,SSD,N/A,Intel Integrated UHD,29.46 cm (11.6 inch),1366 x 768 Pixels,N/A,1.0 kg,277.3 x 193.3 x 16.8 mm,"1 x Type C Port, 3 x USB 3.2 Port",1 x HDMI Port,802.11 a/b/g/n/ac Wireless LAN,v4.2,38 Wh Li-ion Battery,N/A,1280 x 720 Resolution/720p HD Video,No,1 Year Warranty,"Acer Aspire 3 Intel Celeron Dual Core - (8 GB/512 GB SSD/Windows 11 Home) A311-45 Thin and Light Laptop  (11.6 inch, Steel Grey, 1.0 kg)",3.8,333 Ratings & 55 Reviews,"19,990","35,999",44% off,https://www.flipkart.com/acer-aspire-3-intel-celeron-dual-core-8-gb-512-gb-ssd-windows-11-home-a311-45-thin-light-laptop/p/itmad38595c5a902?pid=COMH7NCZY2QDJ5Z4&lid=LSTCOMH7NCZY2QDJ5Z4RHDRWI&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_12&otracker=browse&iid=en_snPhhyUI7FpWOvpmxfjq0-uKIwHHk6iq1Jk9v0CEHbx9tyf4abaeBNfQVLbB7yso4mHCm32GpH-1zqWeTBpbvPUFjCTyOHoHZs-Z5_PS_w0%3D&ssid=nawdf1pj8w0000001741522244254
Thin 15 B12UCX-1695IN,Gaming Laptop,Intel,Core i5,12th Gen,16 GB,DDR4,SSD,N/A,NVIDIA GeForce RTX 2050,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD, 144Hz 45%NTSC IPS-Level",1.86 Kg,359 x 254 x 21.7 mm,"1 x Type-C (USB3.2 Gen1 / DP), 3 x Type-A USB3.2 Gen1",1x HDMI (4K @ 30Hz),802.11 ax Wi-Fi 6E,v5.3,N/A,N/A,HD type (30fps@720p),N/A,2 Year Onsite Warranty,"MSI Thin 15 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050/144 Hz) Thin 15 B12UCX-1695IN Gaming Laptop  (15.6 Inch, Cosmos Gray, 1.86 Kg)",4.3,"1,185 Ratings & 99 Reviews","51,990","70,990",26% off,https://www.flipkart.com/msi-thin-15-intel-core-i5-12th-gen-12450h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-144-hz-b12ucx-1695in-gaming-laptop/p/itmc1581367ea4e2?pid=COMGYSFG4WHPVAVZ&lid=LSTCOMGYSFG4WHPVAVZ6L3G5Q&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_13&otracker=browse&iid=382e13d3-74ed-46b1-a38f-30bc4cf62d7c.COMGYSFG4WHPVAVZ.SEARCH&ssid=nawdf1pj8w0000001741522244254
14IMH9,Thin and Light Laptop,Intel,Core Ultra 5,N/A,16 GB,LPDDR5X,SSD,N/A,Intel Integrated Intel Arc,35.56 cm (14 Inch),1920 x 1200 Pixel,"WUXGA, OLED 400nits Glossy, 100% DCI-P3, 60Hz, Eyesafe, Dolby Vision, DisplayHDR True Black 500",1.39 Kg,312 x 221 x 14.9 mm,"1 x USB-A (USB 5Gbps / USB 3.2 Gen 1), Always On, 2 x USB-C (Thunderbolt 4 / USB4 40Gbps), with USB PD 3.1 and DisplayPort 1.4",N/A,"Wi-Fi 6E, 802.11ax 2x2",v5.3,N/A,N/A,Full HD 1080p + IR with E-shutter,N/A,1 Year Onsite Warranty,"Lenovo Yoga Slim 7 Intel Core Ultra 5 125H - (16 GB/512 GB SSD/Windows 11 Home) 14IMH9 Thin and Light Laptop  (14 Inch, Luna Grey, 1.39 Kg, With MS Office)",4.6,18 Ratings & 1 Reviews,"81,990","1,25,890",34% off,https://www.flipkart.com/lenovo-yoga-slim-7-intel-core-ultra-5-125h-16-gb-512-gb-ssd-windows-11-home-14imh9-thin-light-laptop/p/itm77304edff3814?pid=COMH3FFPG5KG2XZJ&lid=LSTCOMH3FFPG5KG2XZJUG3D93&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_14&otracker=browse&iid=382e13d3-74ed-46b1-a38f-30bc4cf62d7c.COMH3FFPG5KG2XZJ.SEARCH&ssid=nawdf1pj8w0000001741522244254
14Q8X9,Thin and Light Laptop,Snapdragon,X Plus,N/A,16 GB,LPDDR5X,SSD,N/A,Qualcomm Adreno,35.56 cm (14 Inch),1920 x 1200 Pixel,"WUXGA, IPS 300nits Anti-glare, 100% sRGB",1.48 Kg,312 x 221 x 16.9 mm,"1 x USB-A (USB 5Gbps / USB 3.2 Gen 1), 1 x USB-A (USB 5Gbps / USB 3.2 Gen 1), Always On, 2 x USB-C (USB 10Gbps / USB 3.2 Gen 2), with USB PD 3.0 and DisplayPort 1.4",N/A,"Wi-Fi 7, 802.11be 2x2",v5.3,N/A,N/A,FHD 1080p with Privacy Shutter,N/A,1 Year Carry-in Warranty,"Lenovo IdeaPad Slim 5 Co-Pilot PC Snapdragon X Plus - (16 GB/1 TB SSD/Windows 11 Home) 14Q8X9 Thin and Light Laptop  (14 Inch, Cloud Grey, 1.48 Kg, With MS Office)",4.4,41 Ratings & 11 Reviews,"69,990","1,25,890",44% off,https://www.flipkart.com/lenovo-ideapad-slim-5-co-pilot-pc-snapdragon-x-plus-16-gb-1-tb-ssd-windows-11-home-14q8x9-thin-light-laptop/p/itm8a59041fc8c0f?pid=COMH4N9CZ7JKPQQC&lid=LSTCOMH4N9CZ7JKPQQCOFLXDU&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_15&otracker=browse&iid=382e13d3-74ed-46b1-a38f-30bc4cf62d7c.COMH4N9CZ7JKPQQC.SEARCH&ssid=nawdf1pj8w0000001741522244254
14M868,Chromebook,MediaTek,MediaTek Kompanio 520,N/A,4 GB,LPDDR4X,eMMC,N/A,MediaTek Integrated ARM Mali-G52 2EE MC2,35.56 cm (14 Inch),1366 x 768 Pixel,"HD, TN 250nits Anti-glare, 45% NTSC",1.3 Kg,325.9 x 221.8 x 18.6 mm,"1 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1 (support data transfer, Power Delivery 3.0 and DisplayPort 1.1a)",N/A,"Wi-Fi 6, 11ax 2x2",v5.1,N/A,N/A,HD 720p with Privacy Shutter,No,1 Year Carry-in Warranty,"Lenovo Chromebook MediaTek Kompanio 520 - (4 GB/128 GB EMMC Storage/Chrome OS) 14M868 Chromebook  (14 Inch, Abyss Blue, 1.3 Kg)",3.8,"1,185 Ratings & 98 Reviews","11,990","28,690",58% off,https://www.flipkart.com/lenovo-chromebook-mediatek-kompanio-520-4-gb-128-gb-emmc-storage-chrome-os-14m868/p/itm4dc67999fe3de?pid=COMGSYYSHRSUEGMG&lid=LSTCOMGSYYSHRSUEGMGL82DZU&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_16&otracker=browse&iid=382e13d3-74ed-46b1-a38f-30bc4cf62d7c.COMGSYYSHRSUEGMG.SEARCH&ssid=nawdf1pj8w0000001741522244254
A324-51,Thin and Light Laptop,Intel,Core i5,12th Gen,16 GB,DDR4,SSD,N/A,Intel Integrated Intel Graphics,35.56 cm (14 Inch),1920 x 1080 Pixel,"Full HD display with IPS (In-Plane Switching) technology, LED-backlit TFT LCD",1.45 Kg,321.7 x 206.6 x 19.4 mm,N/A,1x HDMI Port,WIFI 6,v5.2,2 cell,N/A,2M With Privacy Camera Shutter,Yes,1 Year Domestic Warranty,"Acer Aspire 3 Backlit Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) A324-51 Thin and Light Laptop  (14 Inch, Steel Gray, 1.45 Kg)",4.1,"2,612 Ratings & 188 Reviews","38,990","53,000",26% off,https://www.flipkart.com/acer-aspire-3-backlit-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-a324-51-thin-light-laptop/p/itm4fa0fcf0e2e15?pid=COMHY24RMZ8PUDTT&lid=LSTCOMHY24RMZ8PUDTT6GAEHA&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_17&otracker=browse&iid=en_snPhhyUI7FpWOvpmxfjq0-uKIwHHk6iq1Jk9v0CEHbxNt3pVpxssbFABHjyLNgq-P49Cm0zXOD1G_dMEiBGzIPUFjCTyOHoHZs-Z5_PS_w0%3D&ssid=nawdf1pj8w0000001741522244254
X1504ZA-NJ549WS,Thin and Light Laptop,Intel,Core i5,12th Gen,16 GB,DDR4,SSD,N/A,Intel Integrated Integrated,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"FHD 16:9 aspect ratio, 60Hz refresh rate, 250nits, 45% NTSC color gamut, Anti-glare display, TÜV Rheinland-certified",1.70 kg,359.7 x 232.5 x 17.9mm,"1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 3.2 Gen 1 Type-A, 1 x DC-in",1 x HDMI 1.4,Wi-Fi 6E(802.11ax) (Dual band) 1 x 1,v5.3,3 Cell,N/A,720p HD camera With privacy shutter,No,1 Year Onsite Warranty,"ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ549WS Thin and Light Laptop  (15.6 Inch, Quiet Blue, 1.70 kg, With MS Office)",4.2,"7,225 Ratings & 400 Reviews","48,990","66,990",26% off,https://www.flipkart.com/asus-vivobook-15-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-x1504za-nj549ws-thin-light-laptop/p/itmff0e170cb596e?pid=COMHYG8ZPYAZAFTY&lid=LSTCOMHYG8ZPYAZAFTYUFI8OO&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_18&otracker=browse&iid=en_snPhhyUI7FpWOvpmxfjq0-uKIwHHk6iq1Jk9v0CEHbzFktETzvVAC4bfj0BN00xIGrxg4-Dwmrlye8hmn4Cl3IE8waCTrWcncKeK_ydPfoM%3D&ssid=nawdf1pj8w0000001741522244254
Chromebook Plus,Chromebook,Intel,Core i3,N/A,8 GB,LPDDR5,SSD,N/A,Intel Integrated UHD,35.56 cm (14 Inch),1920 x 1080 Pixel,Full HD IPS LED-backlit LCD Dislpay,1.43 Kg,326.87 x 224.93 x 20.5 mm,"2 x USB 3.2 Gen 1 Type-A port, 2 x USB 3.2 Gen 1 Type-C port",NA,Intel Wireless Wi-Fi 6E AX211,v5.2,3 Cell,N/A,"FHD camera, 1920 x 1080 Resolution, 1080p video at 60 fps with Temporal Noise Reduction, Support ROI feature, Support HDR feature, Dual Mic",No,1 Year Carry-in Warranty,"Acer Chromebook Plus Google AI Intel Core i3 N305 - (8 GB/256 GB SSD/Chrome OS) CB514-4H-39T7 Chromebook  (14 Inch, Steel Gray, 1.43 Kg)",3.7,710 Ratings & 75 Reviews,"18,990","49,999",62% off,https://www.flipkart.com/acer-chromebook-plus-google-ai-intel-core-i3-n305-8-gb-256-gb-ssd-chrome-os-cb514-4h-39t7/p/itm5542cc6900ec1?pid=COMHFC9KE39WGHMA&lid=LSTCOMHFC9KE39WGHMADEYWXV&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_19&otracker=browse&iid=382e13d3-74ed-46b1-a38f-30bc4cf62d7c.COMHFC9KE39WGHMA.SEARCH&ssid=nawdf1pj8w0000001741522244254
A324-51,Thin and Light Laptop,Intel,Core i7,12th Gen,16 GB,DDR4,SSD,N/A,Intel Integrated Iris Xe,35.56 cm (14 Inch),1920 x 1080 Pixel,"Full HD display with IPS (In-Plane Switching) technology, LED-backlit TFT LCD",1.45 Kg,321.7 x 206.6 x 19.4 mm,N/A,1x HDMI Port,WIFI 6,v5.2,2 cell,N/A,2M With Privacy Camera Shutter,Yes,1 Year Domestic Warranty,"Acer Aspire 3 Intel Core i7 12th Gen 1255U - (16 GB/1 TB SSD/Windows 11 Home) A324-51 Thin and Light Laptop  (14 Inch, Steel Gray, 1.45 Kg)",4.3,363 Ratings & 23 Reviews,"45,990","68,000",32% off,https://www.flipkart.com/acer-aspire-3-intel-core-i7-12th-gen-1255u-16-gb-1-tb-ssd-windows-11-home-a324-51-thin-light-laptop/p/itm858b83f904593?pid=COMHY24RBMAZFKFX&lid=LSTCOMHY24RBMAZFKFXYXFVRJ&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_20&otracker=browse&iid=382e13d3-74ed-46b1-a38f-30bc4cf62d7c.COMHY24RBMAZFKFX.SEARCH&ssid=nawdf1pj8w0000001741522244254
